OBCINA_TIP;Leto;Stevilo.gradbenih.dovoljenj
Benedikt_Nestanovanjske stavbe;2008;2
Benedikt_Nestanovanjske stavbe;2009;1
Benedikt_Nestanovanjske stavbe;2010;3
Benedikt_Nestanovanjske stavbe;2011;5
Benedikt_Nestanovanjske stavbe;2012;3
Benedikt_Nestanovanjske stavbe;2013;4
Benedikt_Nestanovanjske stavbe;2014;3
Benedikt_Nestanovanjske stavbe;2015;2
Benedikt_Nestanovanjske stavbe;2016;17
Benedikt_Nestanovanjske stavbe;2017;11
Benedikt_Nestanovanjske stavbe;2018;20
Benedikt_Nestanovanjske stavbe;2019;23
Benedikt_Nestanovanjske stavbe;2020;26
Bistrica ob Sotli_Stanovanjske stavbe;2007;3
Bistrica ob Sotli_Stanovanjske stavbe;2008;4
Bistrica ob Sotli_Stanovanjske stavbe;2009;1
Bistrica ob Sotli_Stanovanjske stavbe;2010;2
Bistrica ob Sotli_Stanovanjske stavbe;2011;5
Bistrica ob Sotli_Stanovanjske stavbe;2012;8
Bistrica ob Sotli_Stanovanjske stavbe;2013;4
Bistrica ob Sotli_Stanovanjske stavbe;2014;1
Bistrica ob Sotli_Stanovanjske stavbe;2015;0
Bistrica ob Sotli_Stanovanjske stavbe;2016;1
Bistrica ob Sotli_Stanovanjske stavbe;2017;1
Bistrica ob Sotli_Stanovanjske stavbe;2018;4
Bistrica ob Sotli_Stanovanjske stavbe;2019;4
Bistrica ob Sotli_Stanovanjske stavbe;2020;0
Bistrica ob Sotli_Nestanovanjske stavbe;2007;1
Bistrica ob Sotli_Nestanovanjske stavbe;2008;1
Bistrica ob Sotli_Nestanovanjske stavbe;2009;3
Bistrica ob Sotli_Nestanovanjske stavbe;2010;3
Bistrica ob Sotli_Nestanovanjske stavbe;2011;2
Bistrica ob Sotli_Nestanovanjske stavbe;2012;4
Bistrica ob Sotli_Nestanovanjske stavbe;2013;2
Bistrica ob Sotli_Nestanovanjske stavbe;2014;0
Bistrica ob Sotli_Nestanovanjske stavbe;2015;5
Bistrica ob Sotli_Nestanovanjske stavbe;2016;2
Bistrica ob Sotli_Nestanovanjske stavbe;2017;10
Bistrica ob Sotli_Nestanovanjske stavbe;2018;2
Bistrica ob Sotli_Nestanovanjske stavbe;2019;4
Bistrica ob Sotli_Nestanovanjske stavbe;2020;4
Bled_Stanovanjske stavbe;2007;21
Bled_Stanovanjske stavbe;2008;2
Bled_Stanovanjske stavbe;2009;9
